ref_state_id,state_name,ref_district_id,district_name,cattle,buffalo,sheep,goat,horse,pony,mule,donkey,camel,pig,Total_poultry
6,Haryana,722,AMBALA,71160,137620,16887,6695,516,5,226,3,0,4128,2873416
6,Haryana,723,BHIWANI,105374,277555,34533,32270,584,54,182,80,1001,3517,777234
6,Haryana,724,CHARKI DADRI,38412,152521,12946,17075,190,24,111,33,338,1737,1151986
6,Haryana,725,FARIDABAD,42988,114100,3721,6790,112,4,23,21,5,1562,69867
6,Haryana,726,FATEHABAD,108800,233890,15146,13185,443,17,57,12,546,2160,357178
6,Haryana,727,GURUGRAM,63916,112204,3207,9490,710,99,84,88,25,8880,494424
6,Haryana,728,HISAR,169527,425846,33339,18862,565,43,106,70,338,4157,2820364
6,Haryana,729,JHAJJAR,62574,180459,9396,7837,347,29,330,37,18,11989,403395
6,Haryana,730,JIND,116624,393606,22805,11009,555,90,163,14,106,6308,5627554
6,Haryana,731,KAITHAL,91943,281887,10939,6189,587,21,109,6,13,4947,2406042
6,Haryana,732,KARNAL,155195,200645,10851,9313,677,29,65,21,125,10346,9565575
6,Haryana,733,KURUKSHETRA,101938,139058,10955,7152,469,11,40,10,0,4082,3509236
6,Haryana,734,MAHENDRAGARH,51113,187207,22995,45967,412,8,135,19,807,1354,988045
6,Haryana,735,MEWAT,29810,174347,5522,26522,113,4,29,70,303,761,23989
6,Haryana,736,PALWAL,49684,199491,7591,13072,320,23,64,89,2,3207,18743
6,Haryana,737,PANCHKULA,32381,56028,3960,6816,100,1,46,22,15,1875,6555878
6,Haryana,738,PANIPAT,74761,165167,5008,4595,387,14,22,6,1,4367,5139088
6,Haryana,739,REWARI,44310,160423,5384,24127,260,16,248,22,219,7457,441638
6,Haryana,740,ROHTAK,64075,174156,9981,6660,257,39,132,79,2,8694,364313
6,Haryana,741,SIRSA,235362,250695,27888,47609,398,40,230,79,1289,1687,340358
6,Haryana,742,SONIPAT,111458,224980,7103,7332,456,61,31,4,0,12399,955218
6,Haryana,743,YAMUNANAGAR,107277,126138,8213,6073,583,10,66,15,1,2626,1411424
